Website Name,Start Time,End Time
localhost,10:43:30 PM,10:43:30 PM
chat.openai.com,10:43:54 PM,10:43:54 PM
localhost,10:44:31 PM,10:44:31 PM
chat.openai.com,10:44:33 PM,10:44:33 PM
chat.openai.com,11:18:38 PM,11:18:38 PM
www.google.com,11:19:26 PM,11:19:26 PM
www.youtube.com,11:19:27 PM,11:19:27 PM
www.facebook.com,11:19:29 PM,11:19:29 PM
www.youtube.com,11:20:50 PM,11:20:50 PM
localhost,11:34:37 PM,11:34:37 PM
chat.openai.com,11:34:41 PM,11:34:41 PM
my.ist.edu.pk,11:35:54 PM,11:35:54 PM
www.youtube.com,11:36:16 PM,11:36:16 PM
my.ist.edu.pk,11:36:22 PM,11:36:22 PM
chat.openai.com,11:38:03 PM,11:38:03 PM
www.google.com,11:38:36 PM,11:38:36 PM
en.wikipedia.org,11:39:11 PM,11:39:11 PM
chat.openai.com,11:39:15 PM,11:39:15 PM
www.facebook.com,11:49:42 PM,11:49:42 PM
ww4.fmovies.co,11:49:49 PM,11:49:49 PM
chat.openai.com,11:53:06 PM,11:53:06 PM
www.youtube.com,11:54:43 PM,11:54:43 PM
chat.openai.com,11:54:44 PM,11:54:44 PM
www.facebook.com,11:59:43 PM,11:59:43 PM
www.linkedin.com,11:59:53 PM,11:59:53 PM
www.askpython.com,12:17:05 PM,12:17:05 PM
www.elo.shopping,12:25:09 PM,12:25:09 PM
towardsdatascience.com,12:25:09 PM,12:25:09 PM
colab.research.google.com,12:25:11 PM,12:25:11 PM
colab.research.google.com,12:25:12 PM,12:25:12 PM
www.youtube.com,12:25:13 PM,12:25:13 PM
colab.research.google.com,12:25:17 PM,12:25:17 PM
colab.research.google.com,9:41:01 AM,9:41:01 AM
colab.research.google.com,9:41:02 AM,9:41:02 AM
towardsdatascience.com,9:41:02 AM,9:41:02 AM
shopify.com,9:41:03 AM,9:41:03 AM
chatgpt.com,9:41:36 AM,9:41:36 AM
colab.research.google.com,9:41:51 AM,9:41:51 AM
www.facebook.com,8:08:52 PM,8:08:52 PM
www.youtube.com,8:09:07 PM,8:09:07 PM
www.youtube.com,8:09:12 PM,8:09:12 PM
www.youtube.com,9:48:48 AM,9:48:48 AM
www.linkedin.com,9:48:50 AM,9:48:50 AM
chatgpt.com,9:49:51 AM,9:49:51 AM
www.linkedin.com,10:04:15 AM,10:04:15 AM
www.youtube.com,10:04:16 AM,10:04:16 AM
leetcode.com,12:28:29 PM,12:28:29 PM
www.youtube.com,12:29:00 PM,12:29:00 PM
chatgpt.com,12:29:35 PM,12:29:35 PM
www.linkedin.com,12:33:12 PM,12:33:12 PM
leetcode.com,12:33:13 PM,12:33:13 PM
chatgpt.com,12:33:14 PM,12:33:14 PM
leetcode.com,12:37:32 PM,12:37:32 PM
www.facebook.com,12:54:46 PM,12:54:46 PM
www.youtube.com,12:55:11 PM,12:55:11 PM
www.kaggle.com,12:55:13 PM,12:55:13 PM
www.youtube.com,12:55:23 PM,12:55:23 PM
www.kaggle.com,12:55:32 PM,12:55:32 PM
colab.research.google.com,2:58:34 PM,2:58:34 PM
chatgpt.com,2:58:35 PM,2:58:35 PM
colab.research.google.com,3:07:22 PM,3:07:22 PM
colab.research.google.com,3:09:35 PM,3:09:35 PM
chatgpt.com,3:09:59 PM,3:09:59 PM
colab.research.google.com,3:10:00 PM,3:10:00 PM
colab.research.google.com,3:13:49 PM,3:13:49 PM
chatgpt.com,3:13:50 PM,3:13:50 PM
chatgpt.com,3:44:17 PM,3:44:17 PM
leetcode.com,3:44:19 PM,3:44:19 PM
chatgpt.com,3:44:34 PM,3:44:34 PM
chatgpt.com,9:30:06 PM,9:30:06 PM
,2:43:43 PM,2:43:43 PM
chatgpt.com,2:43:43 PM,2:43:43 PM
www.linkedin.com,2:43:45 PM,2:43:45 PM
colab.research.google.com,2:43:47 PM,2:43:47 PM
chatgpt.com,2:43:48 PM,2:43:48 PM
chatgpt.com,2:55:12 PM,2:55:12 PM
colab.research.google.com,2:55:13 PM,2:55:13 PM
,2:55:15 PM,2:55:15 PM
chatgpt.com,2:55:16 PM,2:55:16 PM
www.nsnam.org,2:55:19 PM,2:55:19 PM
chatgpt.com,2:58:43 PM,2:58:43 PM
localhost,10:50:06 PM,10:50:06 PM
localhost,11:25:57 PM,11:25:57 PM
chatgpt.com,11:42:57 PM,11:42:57 PM
www.youtube.com,3:01:06 PM,3:01:06 PM
chatgpt.com,3:01:21 PM,3:01:21 PM
chatgpt.com,3:13:37 PM,3:13:37 PM
www.youtube.com,4:06:25 PM,4:06:25 PM
dribbble.com,11:38:13 AM,11:38:13 AM
chatgpt.com,3:30:01 PM,3:30:01 PM
localhost,3:30:27 PM,3:30:27 PM
localhost,3:34:08 PM,3:34:08 PM
chatgpt.com,3:34:35 PM,3:34:35 PM
localhost,3:35:02 PM,3:35:02 PM
chatgpt.com,3:35:04 PM,3:35:04 PM
localhost,3:35:10 PM,3:35:10 PM
chatgpt.com,3:35:13 PM,3:35:13 PM
localhost,3:43:57 PM,3:43:57 PM
go.startyouraiagency.com,3:44:03 PM,3:44:03 PM
chatgpt.com,3:44:13 PM,3:44:13 PM
localhost,3:50:51 PM,3:50:51 PM
meet.google.com,11:29:21 PM,11:29:21 PM
localhost,11:33:03 PM,11:33:03 PM
localhost,11:56:14 PM,11:56:14 PM
localhost,11:58:27 PM,11:58:27 PM
,1:37:15 AM,1:37:15 AM
chatgpt.com,2:52:47 PM,2:52:47 PM
localhost,2:52:48 PM,2:52:48 PM
chatgpt.com,2:55:09 PM,2:55:09 PM
chatgpt.com,3:01:57 PM,3:01:57 PM
chatgpt.com,8:03:06 PM,8:03:06 PM
localhost,8:07:34 PM,8:07:34 PM
meet.google.com,8:08:03 PM,8:08:03 PM
localhost,8:08:19 PM,8:08:19 PM
localhost,8:16:06 PM,8:16:06 PM
meet.google.com,8:29:06 PM,8:29:06 PM
localhost,8:29:09 PM,8:29:09 PM
meet.google.com,8:33:22 PM,8:33:22 PM
localhost,8:57:07 PM,8:57:07 PM
meet.google.com,9:02:29 PM,9:02:29 PM
localhost,11:25:25 AM,11:25:25 AM
localhost,11:53:10 AM,11:53:10 AM
localhost,1:08:05 PM,1:08:05 PM
localhost,2:45:02 PM,2:45:02 PM
localhost,2:49:21 PM,2:49:21 PM
localhost,3:40:13 PM,3:40:13 PM
localhost,7:15:02 PM,7:15:02 PM
localhost,7:20:13 PM,7:20:13 PM
localhost,7:26:42 PM,7:26:42 PM
chatgpt.com,8:07:19 PM,8:07:19 PM
localhost,8:50:19 PM,8:50:19 PM
localhost,9:02:30 PM,9:02:30 PM
localhost,11:40:19 PM,11:40:19 PM
localhost,11:43:06 PM,11:43:06 PM
localhost,12:10:23 AM,12:10:23 AM
localhost,11:16:27 AM,11:16:27 AM
localhost,11:16:45 AM,11:16:45 AM
chatgpt.com,11:37:58 AM,11:37:58 AM
localhost,11:38:02 AM,11:38:02 AM
colab.research.google.com,11:38:59 AM,11:38:59 AM
localhost,11:39:02 AM,11:39:02 AM
colab.research.google.com,11:39:03 AM,11:39:03 AM
chatgpt.com,11:39:04 AM,11:39:04 AM
localhost,11:39:05 AM,11:39:05 AM
localhost,11:40:02 AM,11:40:02 AM
www.figma.com,11:40:07 AM,11:40:07 AM
localhost,11:40:25 AM,11:40:25 AM
www.figma.com,11:40:28 AM,11:40:28 AM
localhost,11:40:41 AM,11:40:41 AM
www.figma.com,11:40:45 AM,11:40:45 AM
localhost,11:41:13 AM,11:41:13 AM
www.figma.com,11:44:02 AM,11:44:02 AM
localhost,11:51:29 AM,11:51:29 AM
www.figma.com,11:52:18 AM,11:52:18 AM
localhost,11:52:51 AM,11:52:51 AM
www.figma.com,11:53:49 AM,11:53:49 AM
localhost,11:54:14 AM,11:54:14 AM
www.piac.com.pk,11:59:19 AM,11:59:19 AM
localhost,11:59:21 AM,11:59:21 AM
www.piac.com.pk,11:59:23 AM,11:59:23 AM
www.kraftse.com,11:59:24 AM,11:59:24 AM
localhost,11:59:37 AM,11:59:37 AM
localhost,1:16:27 PM,1:16:27 PM
chatgpt.com,1:17:26 PM,1:17:26 PM
localhost,1:17:26 PM,1:17:26 PM
colab.research.google.com,1:17:42 PM,1:17:42 PM
chatgpt.com,1:17:43 PM,1:17:43 PM
colab.research.google.com,1:17:44 PM,1:17:44 PM
localhost,1:17:53 PM,1:17:53 PM
tailwindcss.com,4:23:52 PM,4:23:52 PM
colab.research.google.com,4:24:34 PM,4:24:34 PM
chatgpt.com,4:24:42 PM,4:24:42 PM
tailwindcss.com,4:25:24 PM,4:25:24 PM
chatgpt.com,4:27:18 PM,4:27:18 PM
localhost,4:27:54 PM,4:27:54 PM
dribbble.com,4:28:02 PM,4:28:02 PM
dribbble.com,4:28:32 PM,4:28:32 PM
localhost,4:29:01 PM,4:29:01 PM
dribbble.com,4:29:30 PM,4:29:30 PM
localhost,4:30:00 PM,4:30:00 PM
localhost,5:14:00 PM,5:14:00 PM
quillbot.com,11:58:53 AM,11:58:53 AM
localhost,11:59:23 AM,11:59:23 AM
quillbot.com,11:59:53 AM,11:59:53 AM
quillbot.com,12:01:48 PM,12:01:48 PM
localhost,12:02:16 PM,12:02:16 PM
www.loom.com,12:03:29 PM,12:03:29 PM
quillbot.com,12:41:03 PM,12:41:03 PM
localhost,12:41:56 PM,12:41:56 PM
quillbot.com,12:44:06 PM,12:44:06 PM
www.screencapture.com,12:44:11 PM,12:44:11 PM
quillbot.com,12:44:18 PM,12:44:18 PM
www.screencapture.com,12:44:20 PM,12:44:20 PM
quillbot.com,12:44:27 PM,12:44:27 PM
localhost,12:44:51 PM,12:44:51 PM
www.screencapture.com,12:45:16 PM,12:45:16 PM
localhost,1:03:57 PM,1:03:57 PM
quillbot.com,1:06:29 PM,1:06:29 PM
www.screencapture.com,1:06:32 PM,1:06:32 PM
www.screencapture.com,1:06:32 PM,1:06:32 PM
www.screencapture.com,1:06:35 PM,1:06:35 PM
quillbot.com,1:06:47 PM,1:06:47 PM
localhost,1:07:15 PM,1:07:15 PM
www.screencapture.com,1:07:20 PM,1:07:20 PM
localhost,1:07:22 PM,1:07:22 PM
www.screencapture.com,1:07:24 PM,1:07:24 PM
localhost,2:09:16 PM,2:09:16 PM
localhost,2:09:37 PM,2:09:37 PM
localhost,2:10:12 PM,2:10:12 PM
localhost,11:54:32 AM,11:54:32 AM
localhost,11:55:32 AM,11:55:32 AM
localhost,12:07:42 PM,12:07:42 PM